epoch  loss  rmse_e(eV/atom)  rmse_f(eV/A)  rmse_v(eV/atom)  rmse_stress(GPa)  gnorm
276 1.517081e-03 0.001803 0.038949 0.000000 0.0000 0.07
277 1.530998e-03 0.004337 0.039126 0.000000 0.0000 0.07
278 1.532612e-03 0.002534 0.039148 0.000000 0.0000 0.08
279 1.509438e-03 0.003712 0.038850 0.000000 0.0000 0.03
280 1.508593e-03 0.003373 0.038839 0.000000 0.0000 0.04
281 1.506801e-03 0.002072 0.038817 0.000000 0.0000 0.03
282 1.521743e-03 0.002634 0.039009 0.000000 0.0000 0.12
283 1.554097e-03 0.003296 0.039421 0.000000 0.0000 0.07
284 1.536032e-03 0.004279 0.039190 0.000000 0.0000 0.07
285 1.517949e-03 0.003414 0.038959 0.000000 0.0000 0.04
286 1.509401e-03 0.002706 0.038850 0.000000 0.0000 0.03
287 1.506732e-03 0.005196 0.038813 0.000000 0.0000 0.03
288 1.504065e-03 0.005082 0.038779 0.000000 0.0000 0.03
289 1.504841e-03 0.004107 0.038790 0.000000 0.0000 0.04
290 1.525560e-03 0.004786 0.039055 0.000000 0.0000 0.04
291 1.506420e-03 0.002579 0.038812 0.000000 0.0000 0.04
292 1.496552e-03 0.002476 0.038685 0.000000 0.0000 0.03
293 1.499243e-03 0.003799 0.038718 0.000000 0.0000 0.03
294 1.505366e-03 0.001874 0.038799 0.000000 0.0000 0.04
295 1.502018e-03 0.003337 0.038754 0.000000 0.0000 0.03
296 1.496088e-03 0.005428 0.038675 0.000000 0.0000 0.03
297 1.494494e-03 0.004713 0.038656 0.000000 0.0000 0.04
298 1.508490e-03 0.003935 0.038837 0.000000 0.0000 0.04
299 1.511199e-03 0.002728 0.038873 0.000000 0.0000 0.07
300 8.623313e-05 0.003421 0.038609 0.000000 0.0000 0.06
301 7.789237e-05 0.001848 0.038594 0.000000 0.0000 0.03
302 7.627605e-05 0.001291 0.038629 0.000000 0.0000 0.03
303 7.533123e-05 0.000890 0.038610 0.000000 0.0000 0.02
304 7.809348e-05 0.001904 0.038592 0.000000 0.0000 0.04
305 7.732887e-05 0.001689 0.038594 0.000000 0.0000 0.03
306 7.893195e-05 0.002125 0.038579 0.000000 0.0000 0.04
307 7.561125e-05 0.001115 0.038566 0.000000 0.0000 0.02
308 7.504768e-05 0.000843 0.038558 0.000000 0.0000 0.02
309 7.552575e-05 0.001102 0.038551 0.000000 0.0000 0.02
310 7.786305e-05 0.001889 0.038547 0.000000 0.0000 0.03
311 7.609552e-05 0.001348 0.038543 0.000000 0.0000 0.02
312 7.548557e-05 0.001105 0.038540 0.000000 0.0000 0.02
313 7.512133e-05 0.000925 0.038540 0.000000 0.0000 0.02
314 7.548751e-05 0.001112 0.038536 0.000000 0.0000 0.02
315 8.142983e-05 0.002679 0.038536 0.000000 0.0000 0.04
316 8.259011e-05 0.002885 0.038539 0.000000 0.0000 0.05
317 7.812771e-05 0.001958 0.038547 0.000000 0.0000 0.03
318 7.664111e-05 0.001523 0.038555 0.000000 0.0000 0.03
319 7.614201e-05 0.001356 0.038550 0.000000 0.0000 0.02
320 7.580432e-05 0.001246 0.038536 0.000000 0.0000 0.02
321 7.563774e-05 0.001185 0.038532 0.000000 0.0000 0.02
322 7.490922e-05 0.000815 0.038534 0.000000 0.0000 0.02
323 7.592960e-05 0.001300 0.038533 0.000000 0.0000 0.03
324 7.632128e-05 0.001445 0.038531 0.000000 0.0000 0.03
325 7.608925e-05 0.001361 0.038532 0.000000 0.0000 0.02
326 7.564303e-05 0.001184 0.038533 0.000000 0.0000 0.02
327 7.782513e-05 0.001890 0.038536 0.000000 0.0000 0.04
328 7.536969e-05 0.001055 0.038537 0.000000 0.0000 0.02
329 7.492182e-05 0.000819 0.038536 0.000000 0.0000 0.01
330 7.599407e-05 0.001323 0.038534 0.000000 0.0000 0.03
331 7.498268e-05 0.000862 0.038533 0.000000 0.0000 0.01
